##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	RMNISTHS_30xdownsample
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	10032290
Sequences flagged as poor quality	0
Sequence length	30-148
%GC	39
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	29.33059251676337	30.0	29.0	30.0	29.0	30.0
2	29.05909009807332	29.0	29.0	30.0	28.0	30.0
3	26.876017838399807	27.0	27.0	28.0	26.0	28.0
4	29.24546918001772	30.0	29.0	30.0	29.0	30.0
5	30.124744101296912	31.0	30.0	31.0	29.0	31.0
6	30.082379197571044	31.0	30.0	31.0	29.0	31.0
7	30.213255896709526	31.0	30.0	31.0	29.0	32.0
8	29.99546952889121	31.0	30.0	31.0	29.0	31.0
9	29.761361463833282	31.0	30.0	31.0	28.0	32.0
10-14	29.199778874015806	29.8	29.4	30.2	28.4	30.8
15-19	27.894780693141847	28.0	28.0	29.0	27.0	29.8
20-24	27.67977408946512	28.0	27.4	29.0	27.0	29.0
25-29	27.58637423758683	28.0	27.8	28.8	26.8	29.0
30-34	27.60725771733675	28.0	27.8	28.8	27.0	29.0
35-39	27.75746193549869	28.0	28.0	29.0	27.0	29.0
40-44	27.75821177319323	28.0	28.0	29.0	27.0	29.2
45-49	27.86369731177718	28.0	28.0	29.0	27.0	30.0
50-54	27.903427730136762	28.2	28.0	29.0	27.0	30.0
55-59	27.87954444955634	28.6	28.0	29.0	27.0	30.0
60-64	27.886963845343086	28.6	28.0	29.0	27.0	30.0
65-69	28.014113279748365	29.0	28.0	29.2	27.0	30.0
70-74	28.086578823603094	29.0	28.0	29.2	27.0	30.0
75-79	28.500207182614798	29.2	28.2	30.0	27.0	30.4
80-84	28.837943494082175	30.0	28.8	30.4	26.8	31.0
85-89	29.244664407577762	30.0	29.2	31.0	26.6	31.6
90-94	29.565413237968936	30.8	29.8	31.0	27.0	32.0
95-99	29.69769433858296	31.0	30.0	31.0	27.2	32.0
100-104	29.80150573556049	30.8	30.0	31.6	27.4	32.0
105-109	30.01490453176922	31.0	30.0	32.0	27.8	32.0
110-114	30.247926424976537	31.4	30.2	32.0	28.0	32.4
115-119	30.39881221509961	32.0	31.0	32.0	28.0	33.0
120-124	30.48113026486185	32.0	31.0	32.0	28.0	33.0
125-129	30.56540738720246	32.0	31.0	32.2	28.0	33.0
130-134	30.964058906681014	32.4	31.0	33.0	28.0	33.4
135-139	31.248891352193613	33.0	32.0	33.0	28.0	34.0
140-144	31.338552937239825	33.0	31.8	33.0	28.0	34.0
145-148	28.799839441092715	30.25	29.25	30.25	26.5	31.25
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1104	5	-0.011355427247927707
1104	6	0.04169013506250607
1104	7	0.02583553293157692
1104	8	0.02733202049063621
1104	9	0.08041138534918346
1104	10-14	0.05435607115231633
1104	15-19	0.03250356395204079
1104	20-24	0.0015780915646388394
1104	25-29	0.01821516975940085
1104	30-34	0.023923930208475497
1104	35-39	0.009454786740896282
1104	40-44	0.025021971856990177
1104	45-49	0.005274106806091083
1104	50-54	0.013725527032285356
1104	55-59	0.011753473173069295
1104	60-64	0.014023188337361603
1104	65-69	0.010683420979010094
1104	70-74	-0.008430791563849738
1104	75-79	0.02222967357804606
1104	80-84	0.04046832061006711
1104	85-89	0.04627220344058003
1104	90-94	0.03923584597939467
1104	95-99	0.04441462406683527
1104	100-104	0.06304988242002452
1104	105-109	0.06574775798013377
1104	110-114	0.03633400829203026
1104	115-119	0.044908158773662166
1104	120-124	0.052063087702624244
1104	125-129	0.05362900775431356
1104	130-134	0.044402643415971
1104	135-139	0.054364717599110435
1104	140-144	0.03319304889511088
1104	145-148	-0.024345959537004802
1105	1	0.0437735744992338
1105	2	0.03793221251271106
1105	3	0.041503446562053625
1105	4	0.029752900831319096
1105	5	0.04118251748912982
1105	6	0.011000825092654765
1105	7	0.030196355948696407
1105	8	-3.6059021789824897E-4
1105	9	0.057020934159318415
1105	10-14	0.025999525815031177
1105	15-19	0.011038795182034988
1105	20-24	4.6972521970189973E-4
1105	25-29	0.01441156750122019
1105	30-34	0.012698930601775515
1105	35-39	0.020120016992674294
1105	40-44	0.04046987629671861
1105	45-49	0.05793451590254506
1105	50-54	0.044211085124779004
1105	55-59	0.03710964809178208
1105	60-64	0.01745253790369361
1105	65-69	0.02473827771785153
1105	70-74	0.033176656723284736
1105	75-79	0.008049122336519332
1105	80-84	0.017718908798638466
1105	85-89	0.03263188749427215
1105	90-94	0.04281760659422318
1105	95-99	0.03283288623323699
1105	100-104	0.04676284530761876
1105	105-109	0.031807996801685334
1105	110-114	0.047086142460706526
1105	115-119	0.040264065309070673
1105	120-124	0.01936985185342266
1105	125-129	0.004342136116513018
1105	130-134	0.04387771303424515
1105	135-139	0.017789631248046334
1105	140-144	0.046656650989280735
1105	145-148	-0.016211341023595338
1106	1	0.019943367468805206
1106	2	0.012213759548529879
1106	3	0.017657076145738415
1106	4	0.048284604289516864
1106	5	0.036446255213842704
1106	6	0.0364676529862038
1106	7	0.04201090655471518
1106	8	0.046816873318839214
1106	9	0.10671098909505972
1106	10-14	0.011368777498475424
1106	15-19	0.003433198932246029
1106	20-24	0.0077449224381567205
1106	25-29	0.02256378448822005
1106	30-34	0.011510555444086634
1106	35-39	0.011688689505021443
1106	40-44	0.02392630984457611
1106	45-49	0.02662555814115919
1106	50-54	0.02166376336071707
1106	55-59	0.019890778329454406
1106	60-64	0.01951011954895776
1106	65-69	0.0317365232599478
1106	70-74	0.04804505047810892
1106	75-79	0.03051235690354659
1106	80-84	0.0572071804459533
1106	85-89	0.04421380641539585
1106	90-94	0.0399247114035397
1106	95-99	0.0700760702020169
1106	100-104	0.058368749372924356
1106	105-109	0.07458984611016461
1106	110-114	0.07722478651347231
1106	115-119	0.095633321116118
1106	120-124	0.08446944402902545
1106	125-129	0.09255693552513122
1106	130-134	0.09379129825823185
1106	135-139	0.08248367938315937
1106	140-144	0.10940798787703443
1106	145-148	0.037291795157699426
1107	1	0.005099217052443095
1107	2	-0.005634062384796579
1107	3	0.004065822043244793
1107	4	-0.013763054263883134
1107	5	-0.018994552018536837
1107	6	-0.011389585162621785
1107	7	-0.0014026466603951349
1107	8	0.040020288709541774
1107	9	0.0411511102029003
1107	10-14	-8.577511890877076E-4
1107	15-19	-0.0036210679686590197
1107	20-24	-0.01714774641873973
1107	25-29	0.007750274219592512
1107	30-34	-0.03278843690708655
1107	35-39	-0.023803797291716222
1107	40-44	0.00410948957375723
1107	45-49	-0.009896187905145126
1107	50-54	-0.015387597091887528
1107	55-59	-0.004655090443826282
1107	60-64	-0.0063515870393615614
1107	65-69	0.0027055445158836733
1107	70-74	-0.0111710937969427
1107	75-79	0.0029945103933251005
1107	80-84	-2.506949898659627E-4
1107	85-89	-0.006058169338150066
1107	90-94	-0.007178347507796445
1107	95-99	0.009227675939957436
1107	100-104	0.0055040699858395215
1107	105-109	-0.006432770018481193
1107	110-114	0.03722448604470685
1107	115-119	-0.007892910735961323
1107	120-124	0.004195896464409543
1107	125-129	0.03487581860200706
1107	130-134	0.020138954057667746
1107	135-139	0.04126996244060521
1107	140-144	0.005617744481536846
1107	145-148	0.01428810548455317
1108	1	0.03476228860847996
1108	2	0.04005594809219204
1108	3	0.023937803337375385
1108	4	0.005018260395846852
1108	5	0.014718599627425277
1108	6	-0.004943257929252098
1108	7	-0.0062943155975609955
1108	8	-0.013742514934332206
1108	9	-0.09794653358031624
1108	10-14	-0.01263740146378467
1108	15-19	-0.0047980598169736766
1108	20-24	-0.011990816481048938
1108	25-29	0.02107992718550733
1108	30-34	-0.0029749290120761884
1108	35-39	0.005351292023803467
1108	40-44	-0.008324136991745945
1108	45-49	-0.0022312923895526637
1108	50-54	0.004265913775782337
1108	55-59	0.003106267259283868
1108	60-64	0.0027467775219065516
1108	65-69	0.006246521392061055
1108	70-74	-0.004994052429335483
1108	75-79	-0.00918975797276289
1108	80-84	-0.006173004162032925
1108	85-89	0.01657110960634256
1108	90-94	0.013707837037223669
1108	95-99	0.0038036000477426057
1108	100-104	-0.0028346707982542796
1108	105-109	0.029529267862525188
1108	110-114	0.03083408963695433
1108	115-119	0.01292259465374812
1108	120-124	0.022833513205650746
1108	125-129	0.029062729096729356
1108	130-134	0.013728755624374145
1108	135-139	0.03230741793629477
1108	140-144	0.034455412737894875
1108	145-148	-0.020080653639684698
1109	1	0.014686227580885003
1109	2	0.04201263944471734
1109	3	0.03503602486767221
1109	4	0.03781558557444242
1109	5	0.0558970057272532
1109	6	-0.0032777722436208023
1109	7	0.007276540632439321
1109	8	0.03799212549126452
1109	9	0.06352026653978626
1109	10-14	0.028847134737869595
1109	15-19	0.025077583860699804
1109	20-24	0.03463145273039814
1109	25-29	0.03269435960292455
1109	30-34	0.0352431895365477
1109	35-39	0.006818351376072229
1109	40-44	0.020024674587109104
1109	45-49	0.017655645591165836
1109	50-54	0.0286678303084571
1109	55-59	0.03313284995757115
1109	60-64	0.02668877225929478
1109	65-69	0.01991197904467157
1109	70-74	0.007521649835737776
1109	75-79	0.01964277120847413
1109	80-84	0.03195276751216625
1109	85-89	0.01979058632930375
1109	90-94	0.018123860787248702
1109	95-99	0.05323873185789907
1109	100-104	0.00921028947299618
1109	105-109	0.04644655973019951
1109	110-114	0.04264192031498837
1109	115-119	0.021837138131925116
1109	120-124	0.036435045654624076
1109	125-129	0.06395560436506997
1109	130-134	0.06268385741651272
1109	135-139	0.06370045529993718
1109	140-144	0.07903202637027107
1109	145-148	0.02934128262334923
1110	1	0.03033914820112571
1110	2	0.014254453458715233
1110	3	0.013667420818428866
1110	4	0.02313039703097175
1110	5	0.008197895525977827
1110	6	-0.01564023500704792
1110	7	0.018188889519613838
1110	8	0.011205068285615738
1110	9	0.04816233943997261
1110	10-14	0.014954704382446948
1110	15-19	0.02375838983335754
1110	20-24	0.005821499306275513
1110	25-29	0.01953936814721402
1110	30-34	0.011229565274568643
1110	35-39	-0.00942598513448445
1110	40-44	0.012975496600411418
1110	45-49	0.004535431421821556
1110	50-54	0.014415251656373584
1110	55-59	0.014090982569722854
1110	60-64	-0.011969200012046599
1110	65-69	-0.0028548618822057392
1110	70-74	-0.014079370931384005
1110	75-79	-0.005454036882280633
1110	80-84	0.018989807994277186
1110	85-89	0.0059871937566065014
1110	90-94	-0.005546259077547688
1110	95-99	-0.00828299075751815
1110	100-104	-0.0028423456892099352
1110	105-109	0.00809339751435445
1110	110-114	-0.018663053990831457
1110	115-119	-0.023155879505520005
1110	120-124	-0.011450428648377198
1110	125-129	-0.003735652619582197
1110	130-134	-0.032139157644536454
1110	135-139	-0.005136696736098401
1110	140-144	-0.023518183326135755
1110	145-148	-0.01261722139824073
1111	1	-0.009706083849387426
1111	2	-0.010846797461244506
1111	3	0.004311727844036994
1111	4	-0.010038225785596211
1111	5	-0.04165498886066743
1111	6	-0.03260644105947463
1111	7	-0.052451549461448366
1111	8	-0.06340545067756764
1111	9	-0.11254875720478807
1111	10-14	-0.031956409452241985
1111	15-19	-0.07307646621291752
1111	20-24	0.016896867667256288
1111	25-29	-0.02831627150675331
